Age,Mileage,SocioEcon,RiskAversion,GoodStudent,OtherCar,AntiTheft,SeniorTrain,HomeBase,VehicleYear,MakeModel,DrivingSkill,RuggedAuto,Airbag,Antilock,CarValue,DrivQuality,DrivHist,Cushioning,Theft,Accident,MedCost,OtherCarCost,ThisCarDam,ILiCost,ThisCarCost,PropCost
Adult,FiftyThou,Prole,Normal,False,False,False,False,Rural,Older,Economy,Normal,EggShell,False,False,FiveThou,Normal,Many,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiftyThou,Middle,Adventurous,False,False,False,False,Suburb,Current,Economy,Normal,Football,True,False,TenThou,Poor,Many,Good,False,Severe,Thousand,TenThou,Severe,Thousand,TenThou,TenThou
Senior,FiftyThou,Prole,Cautious,False,True,True,True,City,Older,FamilySedan,Normal,Tank,False,False,FiveThou,Normal,One,Good,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adolescent,FiftyThou,Middle,Normal,False,True,True,False,Suburb,Older,SportsCar,SubStandard,EggShell,True,False,TenThou,Poor,Many,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,FiftyThou,Prole,Normal,False,True,True,False,Suburb,Current,Economy,SubStandard,Football,True,False,TwentyThou,Poor,Many,Excellent,False,Severe,Thousand,TenThou,Severe,HundredThou,HundredThou,HundredThou
Adult,TwentyThou,Prole,Normal,False,False,False,False,City,Current,FamilySedan,Normal,Football,True,True,TwentyThou,Normal,One,Excellent,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,Domino,Prole,Normal,False,True,False,False,Suburb,Current,FamilySedan,SubStandard,EggShell,True,True,TwentyThou,Poor,Many,Good,False,Moderate,Thousand,Thousand,Moderate,Thousand,HundredThou,HundredThou
Senior,FiveThou,UpperMiddle,Cautious,False,True,True,True,Secure,Current,SportsCar,Normal,EggShell,True,True,FiftyThou,Normal,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,TenThou
Adult,FiftyThou,Prole,Adventurous,False,True,False,False,City,Older,SportsCar,Expert,EggShell,False,False,FiveThou,Excellent,Zero,Poor,False,None,Thousand,Thousand,None,Thousand,Thousand,Thousand
Adult,TwentyThou,Prole,Normal,False,True,False,False,Rural,Older,Economy,SubStandard,EggShell,False,False,FiveThou,Poor,Many,Poor,False,Mild,Thousand,Thousand,Mild,Thousand,Thousand,Thousand
